,sensor_id_temperature,sensor_type_temperature,location_temperature,lat_temperature,lon_temperature,timestamp_new,value_type_temperature,value_temperature,sensor_id_humidity,sensor_type_humidity,location_humidity,lat_humidity,lon_humidity,value_type_humidity,value_humidity,sensor_id_P1,sensor_type_P1,location_P1,lat_P1,lon_P1,value_type_P1,value_P1,sensor_id_P2,sensor_type_P2,location_P2,lat_P2,lon_P2,value_type_P2,value_P2
61,145,DHT22,3528,-0.286,36.067,2023-02-04 07:05:41+00:00,temperature,23,145,DHT22,3528,-0.286,36.067,humidity,63,144.0,SDS011,3528.0,-0.286,36.067,P1,10.0,144.0,SDS011,3528.0,-0.286,36.067,P2,6.0
62,145,DHT22,3528,-0.286,36.067,2023-02-04 07:08:21+00:00,temperature,23,145,DHT22,3528,-0.286,36.067,humidity,64,144.0,SDS011,3528.0,-0.286,36.067,P1,19.0,144.0,SDS011,3528.0,-0.286,36.067,P2,6.0
63,145,DHT22,3528,-0.286,36.067,2023-02-04 07:11:01+00:00,temperature,23,145,DHT22,3528,-0.286,36.067,humidity,66,144.0,SDS011,3528.0,-0.286,36.067,P1,32.0,144.0,SDS011,3528.0,-0.286,36.067,P2,8.0
64,145,DHT22,3528,-0.286,36.067,2023-02-04 07:13:41+00:00,temperature,24,145,DHT22,3528,-0.286,36.067,humidity,66,144.0,SDS011,3528.0,-0.286,36.067,P1,22.0,144.0,SDS011,3528.0,-0.286,36.067,P2,8.0
65,145,DHT22,3528,-0.286,36.067,2023-02-04 07:16:21+00:00,temperature,24,145,DHT22,3528,-0.286,36.067,humidity,67,144.0,SDS011,3528.0,-0.286,36.067,P1,17.0,144.0,SDS011,3528.0,-0.286,36.067,P2,6.0
66,145,DHT22,3528,-0.286,36.067,2023-02-04 07:19:01+00:00,temperature,24,145,DHT22,3528,-0.286,36.067,humidity,65,144.0,SDS011,3528.0,-0.286,36.067,P1,20.0,144.0,SDS011,3528.0,-0.286,36.067,P2,7.0
67,145,DHT22,3528,-0.286,36.067,2023-02-04 07:21:42+00:00,temperature,25,145,DHT22,3528,-0.286,36.067,humidity,67,144.0,SDS011,3528.0,-0.286,36.067,P1,28.0,144.0,SDS011,3528.0,-0.286,36.067,P2,6.0
68,145,DHT22,3528,-0.286,36.067,2023-02-04 07:24:21+00:00,temperature,25,145,DHT22,3528,-0.286,36.067,humidity,61,144.0,SDS011,3528.0,-0.286,36.067,P1,7.0,144.0,SDS011,3528.0,-0.286,36.067,P2,6.0
69,145,DHT22,3528,-0.286,36.067,2023-02-04 07:27:02+00:00,temperature,25,145,DHT22,3528,-0.286,36.067,humidity,64,144.0,SDS011,3528.0,-0.286,36.067,P1,21.0,144.0,SDS011,3528.0,-0.286,36.067,P2,6.0
70,145,DHT22,3528,-0.286,36.067,2023-02-04 07:29:42+00:00,temperature,25,145,DHT22,3528,-0.286,36.067,humidity,61,144.0,SDS011,3528.0,-0.286,36.067,P1,10.0,144.0,SDS011,3528.0,-0.286,36.067,P2,4.0
